postcode_prefix,provider,only_letters
BT,Capita,TRUE
CH1,Capita,FALSE
CH4,Capita,FALSE
CH5,Capita,FALSE
CH6,Capita,FALSE
CH7,Capita,FALSE
CH8,Capita,FALSE
LL,Capita,TRUE
SY,Capita,TRUE
SA,Capita,TRUE
LD,Capita,TRUE
CF,Capita,TRUE
NP,Capita,TRUE
NPT,Capita,TRUE
HR,Capita,TRUE
WR,Capita,TRUE
DY,Capita,TRUE
WV,Capita,TRUE
TF,Capita,TRUE
ST,Capita,TRUE
WS,Capita,TRUE
B,Capita,TRUE
CV,Capita,TRUE
DE,Capita,TRUE
NG,Capita,TRUE
LE,Capita,TRUE
NN,Capita,TRUE
GL16,Capita,FALSE
PE,Capita,TRUE
LN,Capita,TRUE
